,movie_id,title,release_date
252,253,"Pillow Book, The (1995)",13-Jun-1997
253,254,Batman & Robin (1997),20-Jun-1997
254,255,My Best Friend's Wedding (1997),20-Jun-1997
255,256,When the Cats Away (Chacun cherche son chat) (1996),20-Jun-1997
256,257,Men in Black (1997),04-Jul-1997
257,258,Contact (1997),11-Jul-1997
258,259,George of the Jungle (1997),01-Jan-1997
259,260,Event Horizon (1997),01-Jan-1997
260,261,Air Bud (1997),01-Aug-1997
261,262,In the Company of Men (1997),01-Aug-1997
262,263,Steel (1997),15-Aug-1997
263,264,Mimic (1997),22-Aug-1997
264,265,"Hunt for Red October, The (1990)",01-Jan-1990
265,266,Kull the Conqueror (1997),29-Aug-1997
266,267,unknown,
267,268,Chasing Amy (1997),01-Jan-1997
268,269,"Full Monty, The (1997)",01-Jan-1997
269,270,Gattaca (1997),01-Jan-1997
270,271,Starship Troopers (1997),01-Jan-1997
271,272,Good Will Hunting (1997),01-Jan-1997
272,273,Heat (1995),01-Jan-1995
273,274,Sabrina (1995),01-Jan-1995
274,275,Sense and Sensibility (1995),01-Jan-1995
275,276,Leaving Las Vegas (1995),01-Jan-1995
276,277,Restoration (1995),01-Jan-1995
277,278,Bed of Roses (1996),01-Jan-1996
278,279,Once Upon a Time... When We Were Colored (1995),01-Jan-1995
279,280,Up Close and Personal (1996),01-Mar-1996
280,281,"River Wild, The (1994)",01-Jan-1994
281,282,"Time to Kill, A (1996)",13-Jul-1996
282,283,Emma (1996),02-Aug-1996
283,284,Tin Cup (1996),16-Aug-1996
284,285,Secrets & Lies (1996),04-Oct-1996
285,286,"English Patient, The (1996)",15-Nov-1996
286,287,Marvin's Room (1996),18-Dec-1996
287,288,Scream (1996),20-Dec-1996
288,289,Evita (1996),25-Dec-1996
289,290,Fierce Creatures (1997),10-Jan-1997
290,291,Absolute Power (1997),14-Feb-1997
291,292,Rosewood (1997),21-Feb-1997
292,293,Donnie Brasco (1997),28-Feb-1997
293,294,Liar Liar (1997),21-Mar-1997
294,295,Breakdown (1997),02-May-1997
295,296,"Promesse, La (1996)",16-May-1997
296,297,Ulee's Gold (1997),01-Jan-1997
297,298,Face/Off (1997),27-Jun-1997
298,299,Hoodlum (1997),22-Aug-1997
299,300,Air Force One (1997),01-Jan-1997
300,301,In & Out (1997),19-Sep-1997
301,302,L.A. Confidential (1997),01-Jan-1997
302,303,Ulee's Gold (1997),01-Jan-1997
303,304,Fly Away Home (1996),13-Sep-1996
304,305,"Ice Storm, The (1997)",01-Jan-1997
305,306,"Mrs. Brown (Her Majesty, Mrs. Brown) (1997)",01-Jan-1997
306,307,"Devil's Advocate, The (1997)",01-Jan-1997
307,308,FairyTale: A True Story (1997),01-Jan-1997
308,309,Deceiver (1997),01-Jan-1997
309,310,"Rainmaker, The (1997)",01-Jan-1997
310,311,"Wings of the Dove, The (1997)",01-Jan-1997
311,312,Midnight in the Garden of Good and Evil (1997),01-Jan-1997
312,313,Titanic (1997),01-Jan-1997
313,314,3 Ninjas: High Noon At Mega Mountain (1998),01-Jan-1997
314,315,Apt Pupil (1998),23-Oct-1998
315,316,As Good As It Gets (1997),23-Dec-1997
316,317,In the Name of the Father (1993),01-Jan-1993
317,318,Schindler's List (1993),01-Jan-1993
318,319,Everyone Says I Love You (1996),06-Dec-1996
319,320,Paradise Lost: The Child Murders at Robin Hood Hills (1996),06-Dec-1996
320,321,Mother (1996),25-Dec-1996
321,322,Murder at 1600 (1997),18-Apr-1997
322,323,Dante's Peak (1997),07-Feb-1997
323,324,Lost Highway (1997),21-Feb-1997
324,325,Crash (1996),21-Mar-1997
325,326,G.I. Jane (1997),01-Jan-1997
326,327,Cop Land (1997),01-Jan-1997
327,328,Conspiracy Theory (1997),08-Aug-1997
328,329,Desperate Measures (1998),30-Jan-1998
329,330,187 (1997),01-Jan-1997
330,331,"Edge, The (1997)",26-Sep-1997
331,332,Kiss the Girls (1997),01-Jan-1997
332,333,"Game, The (1997)",01-Jan-1997
333,334,U Turn (1997),01-Jan-1997
334,335,How to Be a Player (1997),01-Jan-1997
335,336,Playing God (1997),01-Jan-1997
336,337,"House of Yes, The (1997)",01-Jan-1997
337,338,Bean (1997),01-Jan-1997
338,339,Mad City (1997),01-Jan-1997
339,340,Boogie Nights (1997),01-Jan-1997
340,341,Critical Care (1997),01-Jan-1997
341,342,"Man Who Knew Too Little, The (1997)",01-Jan-1997
342,343,Alien: Resurrection (1997),01-Jan-1997
343,344,"Apostle, The (1997)",18-Dec-1997
344,345,Deconstructing Harry (1997),01-Jan-1997
345,346,Jackie Brown (1997),01-Jan-1997
346,347,Wag the Dog (1997),09-Jan-1998
347,348,Desperate Measures (1998),30-Jan-1998
348,349,Hard Rain (1998),16-Jan-1998
349,350,Fallen (1998),16-Jan-1998
350,351,"Prophecy II, The (1998)",16-Jan-1998
351,352,Spice World (1997),01-Jan-1997
352,353,Deep Rising (1998),30-Jan-1998
353,354,"Wedding Singer, The (1998)",13-Feb-1998
354,355,Sphere (1998),13-Feb-1998
355,356,"Client, The (1994)",01-Jan-1994
356,357,One Flew Over the Cuckoo's Nest (1975),01-Jan-1975
357,358,Spawn (1997),01-Aug-1997
358,359,"Assignment, The (1997)",01-Jan-1997
359,360,Wonderland (1997),01-Jan-1997
360,361,Incognito (1997),01-Jan-1997
361,362,Blues Brothers 2000 (1998),06-Feb-1998
362,363,Sudden Death (1995),01-Jan-1995
363,364,Ace Ventura: When Nature Calls (1995),01-Jan-1995
364,365,Powder (1995),01-Jan-1995
365,366,Dangerous Minds (1995),01-Jan-1995
366,367,Clueless (1995),01-Jan-1995
367,368,Bio-Dome (1996),01-Jan-1996
368,369,Black Sheep (1996),02-Feb-1996
369,370,Mary Reilly (1996),23-Feb-1996
370,371,"Bridges of Madison County, The (1995)",09-Feb-1996
371,372,Jeffrey (1995),01-Jan-1995
372,373,Judge Dredd (1995),01-Jan-1995
373,374,Mighty Morphin Power Rangers: The Movie (1995),01-Jan-1995
374,375,Showgirls (1995),01-Jan-1995
375,376,Houseguest (1994),01-Jan-1994
376,377,Heavyweights (1994),01-Jan-1994
377,378,Miracle on 34th Street (1994),01-Jan-1994
378,379,Tales From the Crypt Presents: Demon Knight (1995),01-Jan-1995
379,380,Star Trek: Generations (1994),01-Jan-1994
380,381,Muriel's Wedding (1994),01-Jan-1994
381,382,"Adventures of Priscilla, Queen of the Desert, The (1994)",01-Jan-1994
382,383,"Flintstones, The (1994)",01-Jan-1994
383,384,Naked Gun 33 1/3: The Final Insult (1994),01-Jan-1994
384,385,True Lies (1994),01-Jan-1994
385,386,Addams Family Values (1993),01-Jan-1993
386,387,"Age of Innocence, The (1993)",01-Jan-1993
387,388,Beverly Hills Cop III (1994),01-Jan-1994
388,389,Black Beauty (1994),01-Jan-1994
389,390,Fear of a Black Hat (1993),01-Jan-1993
390,391,Last Action Hero (1993),01-Jan-1993
391,392,"Man Without a Face, The (1993)",01-Jan-1993
392,393,Mrs. Doubtfire (1993),01-Jan-1993
393,394,Radioland Murders (1994),01-Jan-1994
394,395,Robin Hood: Men in Tights (1993),01-Jan-1993
395,396,Serial Mom (1994),01-Jan-1994
396,397,Striking Distance (1993),01-Jan-1993
397,398,Super Mario Bros. (1993),01-Jan-1993
398,399,"Three Musketeers, The (1993)",01-Jan-1993
399,400,"Little Rascals, The (1994)",01-Jan-1994
400,401,"Brady Bunch Movie, The (1995)",01-Jan-1995
401,402,Ghost (1990),01-Jan-1990
402,403,Batman (1989),01-Jan-1989
403,404,Pinocchio (1940),01-Jan-1940
404,405,Mission: Impossible (1996),22-May-1996
405,406,Thinner (1996),25-Oct-1996
406,407,Spy Hard (1996),24-May-1996
407,408,"Close Shave, A (1995)",28-Apr-1996
408,409,Jack (1996),07-Aug-1996
409,410,Kingpin (1996),12-Jul-1996
410,411,"Nutty Professor, The (1996)",28-Jun-1996
411,412,"Very Brady Sequel, A (1996)",23-Aug-1996
412,413,Tales from the Crypt Presents: Bordello of Blood (1996),19-Jul-1996
413,414,My Favorite Year (1982),01-Jan-1982
414,415,"Apple Dumpling Gang, The (1975)",01-Jan-1975
415,416,Old Yeller (1957),01-Jan-1957
416,417,"Parent Trap, The (1961)",01-Jan-1961
417,418,Cinderella (1950),01-Jan-1950
418,419,Mary Poppins (1964),01-Jan-1964
419,420,Alice in Wonderland (1951),01-Jan-1951
420,421,William Shakespeare's Romeo and Juliet (1996),25-Oct-1996
421,422,Aladdin and the King of Thieves (1996),01-Jan-1996
422,423,E.T. the Extra-Terrestrial (1982),01-Jan-1982
423,424,Children of the Corn: The Gathering (1996),01-Jan-1996
424,425,Bob Roberts (1992),01-Jan-1992
425,426,"Transformers: The Movie, The (1986)",01-Jan-1986
426,427,To Kill a Mockingbird (1962),01-Jan-1962
427,428,Harold and Maude (1971),01-Jan-1971
428,429,"Day the Earth Stood Still, The (1951)",01-Jan-1951
429,430,Duck Soup (1933),01-Jan-1933
430,431,Highlander (1986),01-Jan-1986
431,432,Fantasia (1940),01-Jan-1940
432,433,Heathers (1989),01-Jan-1989
433,434,Forbidden Planet (1956),01-Jan-1956
434,435,Butch Cassidy and the Sundance Kid (1969),01-Jan-1969
435,436,"American Werewolf in London, An (1981)",01-Jan-1981
436,437,Amityville 1992: It's About Time (1992),01-Jan-1992
437,438,Amityville 3-D (1983),01-Jan-1983
438,439,Amityville: A New Generation (1993),01-Jan-1993
439,440,Amityville II: The Possession (1982),01-Jan-1982
440,441,"Amityville Horror, The (1979)",01-Jan-1979
441,442,"Amityville Curse, The (1990)",01-Jan-1990
442,443,"Birds, The (1963)",01-Jan-1963
443,444,"Blob, The (1958)",01-Jan-1958
444,445,"Body Snatcher, The (1945)",01-Jan-1945
445,446,Burnt Offerings (1976),01-Jan-1976
446,447,Carrie (1976),01-Jan-1976
447,448,"Omen, The (1976)",01-Jan-1976
448,449,Star Trek: The Motion Picture (1979),01-Jan-1979
449,450,Star Trek V: The Final Frontier (1989),01-Jan-1989
450,451,Grease (1978),01-Jan-1978
451,452,Jaws 2 (1978),01-Jan-1978
452,453,Jaws 3-D (1983),01-Jan-1983
453,454,Bastard Out of Carolina (1996),15-Dec-1996
454,455,Jackie Chan's First Strike (1996),10-Jan-1997
455,456,Beverly Hills Ninja (1997),17-Jan-1997
456,457,Free Willy 3: The Rescue (1997),08-Aug-1997
457,458,Nixon (1995),01-Jan-1995
458,459,"Cry, the Beloved Country (1995)",01-Jan-1995
459,460,"Crossing Guard, The (1995)",01-Jan-1995
460,461,Smoke (1995),01-Jan-1995
461,462,Like Water For Chocolate (Como agua para chocolate) (1992),01-Jan-1992
462,463,"Secret of Roan Inish, The (1994)",01-Jan-1994
463,464,Vanya on 42nd Street (1994),01-Jan-1994
464,465,"Jungle Book, The (1994)",01-Jan-1994
465,466,Red Rock West (1992),01-Jan-1992
466,467,"Bronx Tale, A (1993)",01-Jan-1993
467,468,Rudy (1993),01-Jan-1993
468,469,Short Cuts (1993),01-Jan-1993
469,470,Tombstone (1993),01-Jan-1993
470,471,Courage Under Fire (1996),08-Mar-1996
471,472,Dragonheart (1996),31-May-1996
472,473,James and the Giant Peach (1996),12-Apr-1996
473,474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),01-Jan-1963
474,475,Trainspotting (1996),19-Jul-1996
475,476,"First Wives Club, The (1996)",14-Sep-1996
476,477,Matilda (1996),02-Aug-1996
477,478,"Philadelphia Story, The (1940)",01-Jan-1940
478,479,Vertigo (1958),01-Jan-1958
479,480,North by Northwest (1959),01-Jan-1959
480,481,"Apartment, The (1960)",01-Jan-1960
481,482,Some Like It Hot (1959),01-Jan-1959
482,483,Casablanca (1942),01-Jan-1942
483,484,"Maltese Falcon, The (1941)",01-Jan-1941
484,485,My Fair Lady (1964),01-Jan-1964
485,486,Sabrina (1954),01-Jan-1954
486,487,Roman Holiday (1953),01-Jan-1953
487,488,Sunset Blvd. (1950),01-Jan-1950
488,489,Notorious (1946),01-Jan-1946
489,490,To Catch a Thief (1955),01-Jan-1955
490,491,"Adventures of Robin Hood, The (1938)",01-Jan-1938
491,492,East of Eden (1955),01-Jan-1955
492,493,"Thin Man, The (1934)",01-Jan-1934
493,494,His Girl Friday (1940),01-Jan-1940
494,495,Around the World in 80 Days (1956),01-Jan-1956
495,496,It's a Wonderful Life (1946),01-Jan-1946
496,497,Bringing Up Baby (1938),01-Jan-1938
497,498,"African Queen, The (1951)",01-Jan-1951
498,499,Cat on a Hot Tin Roof (1958),01-Jan-1958
499,500,Fly Away Home (1996),13-Sep-1996
500,501,Dumbo (1941),01-Jan-1941
501,502,Bananas (1971),01-Jan-1971
502,503,"Candidate, The (1972)",01-Jan-1972
503,504,Bonnie and Clyde (1967),01-Jan-1967
504,505,Dial M for Murder (1954),01-Jan-1954
505,506,Rebel Without a Cause (1955),01-Jan-1955
506,507,"Streetcar Named Desire, A (1951)",01-Jan-1951
507,508,"People vs. Larry Flynt, The (1996)",27-Dec-1996
508,509,My Left Foot (1989),01-Jan-1989
509,510,"Magnificent Seven, The (1954)",01-Jan-1954
510,511,Lawrence of Arabia (1962),01-Jan-1962
511,512,Wings of Desire (1987),01-Jan-1987
512,513,"Third Man, The (1949)",01-Jan-1949
513,514,Annie Hall (1977),01-Jan-1977
514,515,"Boot, Das (1981)",04-Apr-1997
515,516,Local Hero (1983),01-Jan-1983
516,517,Manhattan (1979),01-Jan-1979
517,518,Miller's Crossing (1990),01-Jan-1990
518,519,"Treasure of the Sierra Madre, The (1948)",01-Jan-1948
519,520,"Great Escape, The (1963)",01-Jan-1963
520,521,"Deer Hunter, The (1978)",01-Jan-1978
521,522,Down by Law (1986),01-Jan-1986
522,523,Cool Hand Luke (1967),01-Jan-1967
523,524,"Great Dictator, The (1940)",01-Jan-1940
524,525,"Big Sleep, The (1946)",01-Jan-1946
525,526,Ben-Hur (1959),01-Jan-1959
526,527,Gandhi (1982),01-Jan-1982
527,528,"Killing Fields, The (1984)",01-Jan-1984
528,529,My Life as a Dog (Mitt liv som hund) (1985),01-Jan-1985
529,530,"Man Who Would Be King, The (1975)",01-Jan-1975
530,531,Shine (1996),22-Nov-1996
531,532,Kama Sutra: A Tale of Love (1996),07-Mar-1997
532,533,"Daytrippers, The (1996)",21-Mar-1997
533,534,Traveller (1997),18-Apr-1997
534,535,Addicted to Love (1997),23-May-1997
535,536,Ponette (1996),23-May-1997
536,537,My Own Private Idaho (1991),01-Jan-1991
537,538,Anastasia (1997),01-Jan-1997
538,539,Mouse Hunt (1997),01-Jan-1997
539,540,Money Train (1995),01-Jan-1995
540,541,Mortal Kombat (1995),01-Jan-1995
541,542,Pocahontas (1995),01-Jan-1995
